Project ID,Related Project ID,Marina ID,Marina Name,Project Topic,Project Name,Category,Status,Priority,Owner,Support Needed,Leadership Approval Needed,Start Date,Due Date,Latest Update,Next Step,Related File,Last Updated
LT-CAM-001,,LT,Lake Travis,Campaigns,Lake Travis Summer Campaign,Campaign,In Progress,High,Marketing,"Dev, Marina Team, Leadership",Yes,,,,,marinas/lake-travis/projects/lake-travis-campaign.md,
LT-TRK-001,LT-CAM-001,LT,Lake Travis,Conversion Tracking,Lake Travis Conversion Tracking Setup,Tracking,Needs Review,High,Marketing/Dev,"Dev, Vendor",Yes,,,,"Confirm form fills, phone calls, booking clicks, and Kenect tracking",marinas/lake-travis/projects/conversion-tracking.md,
BH-WEB-001,,BH,Bluff House,Website,Bluff House Website Rewrite,Website,In Progress,High,Marketing,"Leadership, Web/Dev, Agency",Yes,,,,Continue organizing rewrite priorities and approval needs,marinas/bluff-house/projects/website-rewrite.md,
BH-EVT-001,MER-EVT-001,BH,Bluff House,Events,Bluff House Bahamas Run Destination Support,Event,Planning,High,Marketing,"Bluff House Team, Molly, Felicia, Leadership, Meridian Team",Yes,2026-06-03,2026-07-15,"Restored as the Bluff House destination support project for the Meridian Bahamas Run. Meridian owns customer sign-ups and primary customer communication; Bluff House supports rooms, slips, special rates, welcome party, onsite experience, and destination logistics.","Confirm room/slip logistics, special rates, welcome party details, and onsite support responsibilities.",marinas/bluff-house/projects/bahamas-run.md,2026-06-03
MER-LEAD-001,,MER,Meridian,Lead Tracking,Meridian Lead Tracking Cleanup,Tracking,In Progress,High,Marketing,"Marina Team, Dev",Yes,,,,Finalize source/contact method fields and staff process,marinas/meridian/projects/lead-tracking.md,
MER-STO-001,,MER,Meridian,Storage,Meridian Dry Storage Opening,Campaign,Planning,High,Marketing,"Marina Team, Leadership",Yes,,,,Confirm opening timeline and campaign messaging,marinas/meridian/projects/dry-storage-opening.md,
MER-EVT-001,BH-EVT-001,MER,Meridian,Events,Meridian Bahamas Run,Campaign,Planning,High,Marketing,"Rick, Jennifer, Molly, Felicia, Shad, Marina Team, Bluff House, Leadership",Yes,2026-06-03,2026-07-15,"2026-06-04 update: Friday planning meeting scheduled; logo complete; flyer draft complete; team is calling past attendees; spreadsheet is set up for call/attendee data.","Use Friday meeting to review flyer/logo status, past-attendee call progress, attendee spreadsheet, registration path, and remaining logistics.",marinas/meridian/projects/bahamas-run.md,2026-06-04
ANC-WEB-001,,ANC,Anclote,Website,Anclote Website Service Updates,Website,Needs Review,Medium,Marketing,"Web/Dev, Marina Team",Yes,,,,Add overnight rentals and boat rentals to website planning,marinas/anclote/projects/website-updates.md,
CORP-TRK-001,,CORP,Corporate / All Marinas,Conversion Tracking,Portfolio-Wide Conversion Tracking Setup,Tracking,In Progress,High,Marketing/Dev,"Dev, Vendors, Marina Teams",Yes,2026-06-03,,Corporate-wide tracking project created to manage GA4, Google Ads, forms, phone calls, booking actions, Kenect/text leads, UTMs, CRM source fields, and reporting standards across all marinas.,Audit all tracking by marina and organize issues under tracking-issues.csv.,marinas/corporate/projects/conversion-tracking.md,2026-06-03
CORP-CRM-001,,CORP,Corporate / All Marinas,CRM / Lead Management,Portfolio-Wide CRM and Lead Management Setup,CRM,Planning,High,Marketing,"Leadership, Dev, Marina Teams, CRM Vendor",Yes,2026-06-03,,Corporate CRM project created to organize lead source standards, contact method standards, lifecycle stages, lead tracking fields, and lead-to-booking reporting across the portfolio.,Define universal lead source and contact method fields and identify CRM/lead sheet requirements.,marinas/corporate/projects/crm-lead-management.md,2026-06-03
CORP-RPT-001,,CORP,Corporate / All Marinas,Reporting,Portfolio Reporting and Dashboard System,Reporting,Planning,High,Marketing,"Leadership, Dev, Vendors",Yes,2026-06-03,,Corporate reporting project created to manage GitHub project system, future Airtable dashboard, leadership reports, weekly summaries, and portfolio-wide visibility.,Finalize source-of-truth rules, dashboard needs, and reporting cadence.,marinas/corporate/projects/reporting-dashboard-system.md,2026-06-03
CORP-BRAND-001,,CORP,Corporate / All Marinas,Brand Standards,Portfolio Brand and Messaging Standards,Brand,Planning,Medium,Marketing,"Leadership, Marina Teams, Design",Yes,2026-06-03,,Corporate brand project created to organize shared brand standards, marina-level differentiation, messaging guidelines, visual direction, and marketing consistency across properties.,Collect existing brand notes, marina differences, color direction, tone, and shared messaging standards.,marinas/corporate/projects/brand-messaging-standards.md,2026-06-03
CORP-VEND-001,,CORP,Corporate / All Marinas,Vendor Management,Vendor and Agency Management,Vendor,Planning,Medium,Marketing,"Vendors, Agencies, Leadership",No,2026-06-03,,Corporate vendor management project created to organize agency notes, vendor questions, access needs, performance reporting, and follow-up items.,Document current vendors, responsibilities, access needs, reporting gaps, and open questions.,marinas/corporate/projects/vendor-agency-management.md,2026-06-03
